1;Suzanne Vega;SUZANNEVEGA;Solitude Standing;12/09/1987
2;Janet Jackson ft Carly Simon;JANETJACKSON;Son Of A Gun (Betcha Think This Song Is About You);24/11/2001
3;Neneh Cherry;NENEHCHERRY;Heart;09/12/1989
4;Neneh Cherry;NENEHCHERRY;Kisses On The Wind;22/07/1989
5;Junior M.A.F.I.A. Featuring The Notorious B.I.G.;JUNIORMAFIA;Get Money;10/02/1996
6;Junior M.A.F.I.A.;JUNIORMAFIA;Player's Anthem;22/07/1995
7;Missy Misdemeanor Elliott Featuring Da Brat;MISSYMISDEMEANORELLIOTT;Sock It 2 Me;18/10/1997
8;Nas;NAS;If I Ruled The World;22/06/1996
9;Tweet;TWEET;Oops (Oh My);09/02/2002
10;Fabolous;FABOLOUS;Young'n (Holla Back);01/12/2001
11;Angie Stone;ANGIESTONE;No More Rain (In This Cloud);25/12/1999
12;Arrested Development;ARRESTEDDEVELOPMENT;Ease My Mind;14/05/1994
13;Dionne Warwick;DIONNEWARWICK;Alfie;08/04/1967
14;Dionne Warwick;DIONNEWARWICK;I Say A Little Prayer;21/10/1967
15;Dionne Warwick;DIONNEWARWICK;Make It Easy On Yourself;03/10/1970
16;Georgie Fame And The Blue Flames;GEORGIEFAMEANDBLUEFLAMES;Get Away;20/08/1966
17;Georgie Fame;GEORGIEFAME;In The Meantime;01/05/1965
18;Georgie Fame;GEORGIEFAME;Yeh, Yeh;13/02/1965
19;Manfred Mann;MANFREDMANN;Fox On The Run;18/01/1969
20;Chubb Rock;CHUBBROCK;Treat  Em Right;18/05/1991
21;KRS-One;KRSONE;Sound Of Da Police;05/02/1994
22;Elvis Presley;ELVISPRESLEY;It's Only Love/Beyond The Reef;09/10/1971
23;Red Hot Chili Peppers;REDHOTCHILIPEPPERS;Give It Away;21/12/1991
24;Red Hot Chili Peppers;REDHOTCHILIPEPPERS;Californication;29/07/2000
25;Red Hot Chili Peppers;REDHOTCHILIPEPPERS;Otherside;12/02/2000
26;Red Hot Chili Peppers;REDHOTCHILIPEPPERS;Scar Tissue;05/06/1999
27;Supertramp;SUPERTRAMP;Dreamer;20/09/1980
28;Supertramp;SUPERTRAMP;Give A Little Bit;04/06/1977
29;Supertramp;SUPERTRAMP;The Logical Song;24/03/1979
30;The Rolling Stones;ROLLINGSTONES;19th Nervous Breakdown;26/02/1966
31;The Rolling Stones;ROLLINGSTONES;As Tears Go By;25/12/1965
32;The Rolling Stones;ROLLINGSTONES;Let's Spend The Night Together;21/01/1967
33;The Rolling Stones;ROLLINGSTONES;Paint It, Black;14/05/1966
34;The Rolling Stones;ROLLINGSTONES;Ruby Tuesday;21/01/1967
35;The Who;WHO;Love, Reign O'er Me;01/12/1973
36;Depeche Mode;DEPECHEMODE;Barrel Of A Gun;22/02/1997
37;Depeche Mode;DEPECHEMODE;It's No Good;17/05/1997
38;The Doors;DOORS;Gloria;03/12/1983
39;Lenny Kravitz;LENNYKRAVITZ;I Belong To You;25/03/2000
40;Madonna;MADONNA;Frozen;21/03/1998
41;Madonna;MADONNA;Ray Of Light;11/07/1998
42;Marvin Gaye;MARVINGAYE;Mercy Mercy Me (The Ecology);03/07/1971
43;The Clash;CLASH;Should I Stay Or Should I Go?;19/02/1983
44;Bloodstone;BLOODSTONE;Natural High;21/04/1973
45;Cannonball Adderley;CANNONBALLADDERLEY;Mercy, Mercy, Mercy;07/01/1967
46;Madonna;MADONNA;What It Feels Like For A Girl;05/05/2001
47;Linkin Park;LINKINPARK;Crawling;11/08/2001
48;George Michael;GEORGEMICHAEL;Freedom;27/10/1990
49;Linkin Park;LINKINPARK;In The End;03/11/2001
50;Linkin Park;LINKINPARK;One Step Closer;10/02/2001
51;The Rolling Stones;ROLLINGSTONES;Start Me Up;22/08/1981
52;The Rolling Stones;ROLLINGSTONES;Undercover Of The Night;12/11/1983
53;George Michael;GEORGEMICHAEL;Waiting For That Day;19/01/1991
54;2Pac;2PAC;So Many Tears;01/07/1995
55;AZ;AZ;Sugar Hill;15/07/1995
56;Wu-Tang Clan;WUTANGCLAN;C.R.E.A.M. (Cash Rules Everything Around Me);12/03/1994
57;Gravediggaz;GRAVEDIGGAZ;Diary Of A Madman;09/07/1994
58;Q-Tip;QTIP;Vivrant Thing;17/07/1999
59;SWV;SWV;Anything (From Above The Rim);09/04/1994
60;Bone Thugs-N-Harmony;BONETHUGSNHARMONY;East 1999;09/12/1995
61;Lauryn Hill;LAURYNHILL;Everything Is Everything;19/06/1999
62;Raekwon;RAEKWON;Incarcerated Scarfaces/Ice Cream;14/10/1995
63;Busta Rhymes;BUSTARHYMES;Turn It Up/Fire It Up;09/05/1998
64;Edwin Starr;EDWINSTARR;War;11/07/1970
65;Talking Heads;TALKINGHEADS;Burning Down The House;30/07/1983
